 	Frame #	x	y	FWHM	?F/F0	r^2	Duration (frames)	Duration (t½) (ms)	Spark Mass	Other statistics	 	Options	  
432	124	143.246	55.225	4.999	0.051	0.597	2	1002.175	7.66	 	 	 	 
435	124	208.454	100.418	1.609	0.367	0.83	1	NaN	1.841	 	 	 	 
441	126	41.132	109.982	4.572	0.197	0.77	1	Infinity	22.694	 	 	 	 
442	126	56.804	138.247	3.262	0.062	0.576	1	NaN	2.606	 	 	 	 
446	128	13.429	80.559	3.418	0.28	0.925	6	554.928	13.47	 	 	 	 
450	128	76.723	127.986	4.631	0.179	0.682	1	Infinity	21.398	 	 	 	 
451	129	141.223	116.813	1.443	0.078	0.625	2	55.559	0.285	 	 	 	 
454	129	55.134	140.917	1.203	0.122	0.692	4	300.445	0.257	 	 	 	 
463	133	70.647	57.575	2.215	0.058	0.535	1	NaN	0.76	 	 	 	 
467	134	79.56	82.172	2.953	0.061	0.679	1	NaN	1.888	 	 	 	 
468	134	78.074	118.731	4.259	0.112	0.62	1	NaN	10.432	 	 	 	 
474	136	136.643	118.547	4.908	0.064	0.728	4	307.874	9.177	 	 	 	 
476	136	53.267	137.948	2.729	0.102	0.684	1	NaN	2.506	 	 	 	 
477	137	52.399	63.412	1.146	0.842	0.895	1	NaN	1.529	 	 	 	 
481	138	50.788	140.446	1.37	0.084	0.763	1	NaN	0.261	 	 	 	 
491	141	86.056	132.067	5.477	0.161	0.84	2	141.297	31.821	 	 	 	 
494	143	124.72	52.791	5.652	0.049	0.603	1	NaN	10.576	 	 	 	 
497	143	53.142	138.089	3.441	0.081	0.555	1	NaN	3.982	 	 	 	 
500	145	149.502	60.119	2.83	0.087	0.756	5	278.076	2.376	 	 	 	 
503	147	138.469	59.827	3.913	0.076	0.767	3	-0.102	5.456	 	 	 	 
508	148	49.283	138.721	5.302	0.241	0.817	1	Infinity	43.256	 	 	 	 
510	149	145.203	134.73	5.517	0.209	0.817	3	-139.036	42.3	 	 	 	 
511	149	88.065	133.212	1.309	0.128	0.765	1	NaN	0.347	 	 	 	 
512	150	88.532	75.947	4.929	0.135	0.804	1	NaN	19.444	 	 	 	 
515	151	138.261	84.795	1.814	0.068	0.523	1	NaN	0.487	 	 	 	 
516	151	28.634	58.447	1.454	0.307	0.765	1	NaN	1.138	 	 	 	 
521	152	86.554	74.702	1.196	-0.121	0.53	1	NaN	-0.25	 	 	 	 
523	152	191.697	115.669	3.525	-0.187	0.593	1	NaN	-9.866	 	 	 	 
524	153	43.89	19.77	2.626	0.046	0.579	1	NaN	0.995	 	 	 	 
534	156	202.688	54.334	1.963	0.26	0.845	1	NaN	2.368	 	 	 	 
538	157	180.708	137.644	1.489	0.063	0.588	1	NaN	0.251	 	 	 	 
539	158	134.663	43.488	5.323	0.065	0.517	3	NaN	11.759	 	 	 	 
545	159	92.455	115.532	2.643	0.058	0.533	2	11.721	1.29	 	 	 	 
546	159	58.203	142.521	2.017	0.164	0.738	2	49.734	1.624	 	 	 	 
548	160	81.962	55.59	4.143	0.115	0.811	1	NaN	9.825	 	 	 	 
549	160	18.606	73.342	4.415	0.226	0.584	2	258.857	23.412	 	 	 	 
556	162	44.359	17.118	1.94	0.061	0.646	1	NaN	0.537	 	 	 	 
557	162	28.26	63.259	1.581	0.414	0.823	2	-16.161	1.973	 	 	 	 
559	162	128.089	130.278	2.509	0.091	0.832	1	Infinity	1.728	 	 	 	 
565	164	209.275	64.574	1.987	6.67	0.591	2	-66.834	63.134	 	 	 	 
566	164	58.637	58.969	4.741	-0.067	0.581	1	NaN	-8.602	 	 	 	 
568	164	78.121	120.687	4.543	0.118	0.654	1	NaN	13.321	 	 	 	 
576	167	126.986	59.145	3.028	0.048	0.517	1	NaN	1.615	 	 	 	 
578	168	153.275	60.751	3.59	0.102	0.63	2	-25.386	5.706	 	 	 	 
579	168	96.81	59.975	3.898	0.068	0.705	1	NaN	4.826	 	 	 	 
587	170	82.241	57.984	5.047	0.057	0.644	3	NaN	8.814	 	 	 	 
595	173	26.942	54.038	1.232	4.999	0.545	2	-49.709	11.267	 	 	 	 
602	175	147.389	51.305	2.347	0.093	0.743	2	64.379	1.442	 	 	 	 
604	175	84.571	107.978	4.853	0.276	0.972	1	NaN	38.027	 	 	 	 
609	177	162.429	95.883	4.593	0.057	0.568	3	-4.237	6.611	 	 	 	 
614	179	214.767	32.16	1.244	0.191	0.844	1	NaN	0.444	 	 	 	 
617	179	58.571	149.298	4.221	0.311	0.851	1	NaN	28.179	 	 	 	 
623	181	13.205	78.237	3.064	0.514	0.916	3	NaN	17.816	 	 	 	 
624	181	60.34	142.13	4.045	0.408	0.735	2	-2.275	32.554	 	 	 	 
626	182	131.694	119.206	2.567	0.114	0.864	4	167.9	2.318	 	 	 	 
627	183	68.413	55.724	5.414	-0.146	0.723	1	NaN	-27.865	 	 	 	 
636	184	59.125	142.319	2.001	0.187	0.778	2	1482.579	1.807	 	 	 	 
639	185	12.998	81.412	1.933	0.187	0.908	1	NaN	1.627	 	 	 	 
646	188	145.891	50.039	3.057	0.063	0.612	1	NaN	2.17	 	 	 	 
647	188	26.839	62.085	1.161	0.502	0.853	1	NaN	0.948	 	 	 	 
652	189	76.725	56.093	4.68	0.072	0.691	1	NaN	8.855	 	 	 	 
653	190	87.157	58.667	3.205	0.061	0.57	4	304.699	2.415	 	 	 	 
655	191	25.708	64.44	1.346	0.306	0.762	1	NaN	0.9	 	 	 	 
657	191	50.083	140.278	1.485	-0.104	0.72	1	NaN	-0.41	 	 	 	 
659	193	144.016	54.847	4.699	0.062	0.592	2	-14.056	7.796	 	 	 	 
